Date,全球二氧化碳排放总量,Generation (billion kWh),Nuclear (billion kWh),Fossil fuels (billion kWh),Renewables (billion kWh),Hydroelectricity (billion kWh),Non-hydroelectric renewables (billion kWh),Geothermal (billion kWh),"Solar, tide, wave, fuel cell (billion kWh)",Tide and wave (billion kWh),Solar (billion kWh),Wind (billion kWh),Biomass and waste (billion kWh),Hydroelectric pumped storage (billion kWh),全球:电力装机容量:可再生能源（吉瓦）,全球:电力装机容量:核能（吉瓦）
1980,19782.50371,8017.590350709011,684.380218970399,5588.874065,1754.115066491612,1722.56809,31.54697670361204,13.34007942,0.47,0.47,NA,0.011,17.72589728761204,-9.779,461.90 ,134.95 
1981,19411.71942,8073.384882909436,778.641894829824,5525.695248,1779.940740472612,1746.762664,33.17807635261204,14.74816269,0.53,0.53,NA,0.011,17.88891366461204,-10.893,476.99 ,156.32 
1982,19164.98539,8255.4883439262,866.986699756588,5563.292389,1833.719255232612,1790.224237,43.49501809661204,15.7138649,0.57,0.57,NA,0.019,27.19215320061204,-8.51,493.40 ,170.22 
1983,19310.26306,8594.771855056671,982.49256103806,5703.434012,1918.5782816696121,1871.988606,46.58967613261204,17.80610121,0.57005,0.57,0.00005,0.032667962,28.18085695861204,-9.733,505.88 ,189.81 
1984,19942.49163,9085.148539370703,1197.84611612309,5912.569199,1985.996760759612,1933.867667,52.12909399261204,20.33450396,0.584297924,0.578,0.006297924,0.044490252,31.16580185661204,-11.263537,521.60 ,221.19 
1985,20206.55273,9463.924684108728,1426.47518046108,6043.397152885094,2006.733248762554,1952.058454059493,54.67479470306094,22.3538424024489,0.604680157,0.593,0.011680157,0.063761883,31.65251026061204,-12.680898,538.25 ,252.99 
1986,20565.53072,9660.179602121925,1518.76965876341,6103.5351320080445,2051.78315335047,1991.789856238307,59.99329711216314,24.9847521535511,0.609131952,0.593,0.016131952,0.14018872,34.25922428661204,-13.908342,552.28 ,277.88 
1987,21224.63476,10100.19388960805,1655.30614077561,6398.839903837161,2061.6553609952803,1995.836318310668,65.81904268461204,26.88389111,0.58559706,0.574,0.01159706,0.198541414,38.15101309961204,-15.607516,569.00 ,299.34 
1988,21984.32458,10534.432375760682,1796.1016542685,6613.935287410931,2140.669955081251,2072.167699621639,68.50225545961204,27.21225887,0.57319415,0.562,0.01119415,0.338871014,40.37793142461204,-16.274521,582.93 ,311.62 
1989,22370.54146,11062.105676174826,1844.5626434595,7053.6721755778135,2178.2941451375127,2060.351660025754,117.94248511175888,32.772943,0.852282923,0.556,0.296282923,2.633943,81.6833161887589,-14.423288,573.16 ,320.15 
