,test_true,test_pred
2025-04-07,66.13,68.30269165998996
2025-04-08,64.86,66.22681397135614
2025-04-09,67.3,64.84424589656301
2025-04-10,65.37,67.44151200770929
2025-04-11,66.83,65.29838027985492
2025-04-14,67.18,66.875688427219
2025-04-15,66.58,67.29209920389003
2025-04-16,67.94,66.42206436463013
2025-04-17,69.33,68.06684244005
2025-04-18,69.33,69.34420522554282
2025-04-21,69.33,69.24666885515417
2025-04-22,68.93,69.34548629689782
2025-04-23,68.26,68.92719084615487
2025-04-24,67.5,68.21939820477498
2025-04-25,66.99,67.497220359831
2025-04-28,66.13,66.99346036190346
2025-04-29,64.04,66.11830450457981
2025-04-30,63.37,63.99021093997844
2025-05-01,62.37,63.41242905056958
2025-05-02,61.57,62.38411966890206
2025-05-05,61.57,61.54027182413804
2025-05-06,62.37,61.631544808247675
2025-05-07,60.31,62.40216568032354
2025-05-08,62.22,60.21876981692079
2025-05-09,64.26,62.327921155230975
2025-05-12,65.28,64.35707896078394
2025-05-13,66.93,65.15870857763665
2025-05-14,65.91,67.00769828825577
2025-05-15,64.36,65.83350170400836
2025-05-16,65.2,64.27955826365016
2025-05-19,66.25,65.31023244898033
2025-05-20,66.93,66.24564561388716
2025-05-21,65.86,66.89012415494942
2025-05-22,64.87,65.8353744816038
2025-05-23,65.41,64.85532538034532
2025-05-26,65.41,65.47272272619986
2025-05-27,64.32,65.37984794404937
2025-05-28,65.72,64.26391152155014
2025-05-29,64.6,65.82502295001382
2025-05-30,64.32,64.5452881383267
2025-06-02,66.55,64.27422086413144
2025-06-03,67.48,66.7161169548323
2025-06-04,66.69,67.41456217770227
2025-06-05,67.14,66.60543768015803
2025-06-06,68.02,67.2155768411771
2025-06-09,68.73,68.04139533455968
2025-06-10,68.41,68.68717233618383
2025-06-11,71.29,68.39014355440858
2025-06-12,70.84,71.39559410023195
2025-06-13,76.0,70.7712664147046
2025-06-16,75.05,76.10201598168484
2025-06-17,78.7,74.99683931006483
2025-06-18,78.38,78.66472861258018
2025-06-19,80.37,78.45521539329732
2025-06-20,78.73,80.24178683996897
2025-06-23,74.34,78.75081156894618
